,Years,Country,Capital,Latitude,Longditude,Percent_of_Health_Spending,Percent_of_GDP,USD_per_Capita,Total_Spending_in_Millions_USD
586,1998,LUX,Luxembourg,49.6,6.116667,12.309,0.668,311.45,132.27
587,1999,LUX,Luxembourg,49.6,6.116667,11.965,0.661,350.872,151.04
588,2000,LUX,Luxembourg,49.6,6.116667,11.036,0.651,375.816,163.97
589,2001,LUX,Luxembourg,49.6,6.116667,10.958,0.702,409.75,180.91
590,2002,LUX,Luxembourg,49.6,6.116667,10.879,0.733,448.58,200.15
591,2003,LUX,Luxembourg,49.6,6.116667,10.965,0.764,478.191,215.97
592,2004,LUX,Luxembourg,49.6,6.116667,10.412,0.765,510.874,234.03
593,2005,LUX,Luxembourg,49.6,6.116667,10.208,0.733,523.189,243.37
594,2006,LUX,Luxembourg,49.6,6.116667,10.198,0.684,560.575,264.95
595,2007,LUX,Luxembourg,49.6,6.116667,10.673,0.665,588.312,282.39
596,2008,LUX,Luxembourg,49.6,6.116667,10.226,0.669,611.498,298.81
597,2009,LUX,Luxembourg,49.6,6.116667,9.86,0.724,630.377,313.79
598,2010,LUX,Luxembourg,49.6,6.116667,9.668,0.68,617.448,313.02
599,2011,LUX,Luxembourg,49.6,6.116667,8.877,0.543,529.962,274.7
600,2012,LUX,Luxembourg,49.6,6.116667,8.56,0.563,548.101,291.01
601,2013,LUX,Luxembourg,49.6,6.116667,8.424,0.552,563.787,306.34
602,2014,LUX,Luxembourg,49.6,6.116667,8.192,0.513,561.164,312.19
603,2015,LUX,Luxembourg,49.6,6.116667,8.601,0.52,586.428,334.03
604,1999,MEX,Mexico City,19.43333333,-99.133333,18.935,0.931,85.022,8527.76
605,2000,MEX,Mexico City,19.43333333,-99.133333,19.936,0.968,96.569,9822.97
606,2001,MEX,Mexico City,19.43333333,-99.133333,19.889,1.045,105.263,10849.15
607,2002,MEX,Mexico City,19.43333333,-99.133333,21.64,1.17,120.726,12598.44
608,2003,MEX,Mexico City,19.43333333,-99.133333,35.894,2.134,230.651,24366.08
609,2004,MEX,Mexico City,19.43333333,-99.133333,35.048,2.12,242.481,25944.4
610,2005,MEX,Mexico City,19.43333333,-99.133333,35.603,2.108,260.194,28223.82
611,2006,MEX,Mexico City,19.43333333,-99.133333,34.725,1.984,267.984,29503.0
612,2007,MEX,Mexico City,19.43333333,-99.133333,33.928,1.974,279.012,31203.68
613,2008,MEX,Mexico City,19.43333333,-99.133333,33.143,1.904,280.672,31901.69
614,2009,MEX,Mexico City,19.43333333,-99.133333,32.454,2.004,288.566,33330.88
615,2010,MEX,Mexico City,19.43333333,-99.133333,31.497,1.896,287.049,33676.28
616,2011,MEX,Mexico City,19.43333333,-99.133333,28.201,1.623,265.79,31652.94
617,2012,MEX,Mexico City,19.43333333,-99.133333,28.765,1.704,289.344,34960.95
618,2013,MEX,Mexico City,19.43333333,-99.133333,27.35,1.645,283.955,34794.7
619,2014,MEX,Mexico City,19.43333333,-99.133333,27.011,1.537,277.229,34437.83
620,2015,MEX,Mexico City,19.43333333,-99.133333,27.201,1.595,286.825,36108.67
621,1972,NLD,Amsterdam,52.35,4.916667,11.687,0.661,33.085,440.98
622,1973,NLD,Amsterdam,52.35,4.916667,11.175,0.637,35.249,473.72
623,1974,NLD,Amsterdam,52.35,4.916667,10.327,0.609,37.995,514.64
624,1975,NLD,Amsterdam,52.35,4.916667,9.894,0.617,41.766,570.79
625,1976,NLD,Amsterdam,52.35,4.916667,9.525,0.588,43.654,601.29
626,1977,NLD,Amsterdam,52.35,4.916667,9.183,0.575,45.94,636.55
627,1978,NLD,Amsterdam,52.35,4.916667,8.954,0.571,49.667,692.44
628,1979,NLD,Amsterdam,52.35,4.916667,8.645,0.566,53.934,757.14
629,1980,NLD,Amsterdam,52.35,4.916667,8.412,0.555,59.091,836.13
630,1981,NLD,Amsterdam,52.35,4.916667,8.378,0.56,64.284,915.87
631,1982,NLD,Amsterdam,52.35,4.916667,8.651,0.598,71.663,1025.69
632,1983,NLD,Amsterdam,52.35,4.916667,8.547,0.591,74.834,1075.15
633,1984,NLD,Amsterdam,52.35,4.916667,9.244,0.614,82.585,1191.22
634,1985,NLD,Amsterdam,52.35,4.916667,9.595,0.636,90.174,1306.77
635,1986,NLD,Amsterdam,52.35,4.916667,9.969,0.67,98.99,1442.51
636,1987,NLD,Amsterdam,52.35,4.916667,10.399,0.71,108.992,1598.37
637,1988,NLD,Amsterdam,52.35,4.916667,10.472,0.707,115.517,1705.04
638,1989,NLD,Amsterdam,52.35,4.916667,9.973,0.69,121.613,1805.82
639,1990,NLD,Amsterdam,52.35,4.916667,10.168,0.72,136.103,2034.95
640,1991,NLD,Amsterdam,52.35,4.916667,10.144,0.737,146.213,2203.4
641,1992,NLD,Amsterdam,52.35,4.916667,10.996,0.822,168.349,2556.24
642,1993,NLD,Amsterdam,52.35,4.916667,11.522,0.872,184.053,2814.24
643,1994,NLD,Amsterdam,52.35,4.916667,11.406,0.85,187.466,2883.76
644,1995,NLD,Amsterdam,52.35,4.916667,11.65,0.858,198.145,3063.12
645,1996,NLD,Amsterdam,52.35,4.916667,11.627,0.848,205.342,3189.06
646,1997,NLD,Amsterdam,52.35,4.916667,11.499,0.817,210.01,3278.39
647,1998,NLD,Amsterdam,52.35,4.916667,11.76,0.844,230.684,3623.4
648,1999,NLD,Amsterdam,52.35,4.916667,12.003,0.862,249.383,3943.27
649,2000,NLD,Amsterdam,52.35,4.916667,12.285,0.867,273.687,4358.61
650,2001,NLD,Amsterdam,52.35,4.916667,12.232,0.91,299.575,4807.03
651,2002,NLD,Amsterdam,52.35,4.916667,12.018,0.956,324.925,5247.19
652,2005,NLD,Amsterdam,52.35,4.916667,11.139,1.033,384.808,6280.02
653,2006,NLD,Amsterdam,52.35,4.916667,10.857,0.997,404.948,6619.32
654,2007,NLD,Amsterdam,52.35,4.916667,11.004,1.016,441.76,7236.78
655,2008,NLD,Amsterdam,52.35,4.916667,10.33,0.982,450.402,7407.13
656,2009,NLD,Amsterdam,52.35,4.916667,9.983,1.022,450.574,7448.16
657,2010,NLD,Amsterdam,52.35,4.916667,9.817,1.021,455.318,7565.29
658,2011,NLD,Amsterdam,52.35,4.916667,9.53,1.003,461.879,7710.18
659,2012,NLD,Amsterdam,52.35,4.916667,8.277,0.903,421.533,7062.77
660,2013,NLD,Amsterdam,52.35,4.916667,7.757,0.845,411.405,6913.43
661,2014,NLD,Amsterdam,52.35,4.916667,7.638,0.829,406.47,6855.12
662,2015,NLD,Amsterdam,52.35,4.916667,7.865,0.841,416.594,7057.07
663,2016,NLD,Amsterdam,52.35,4.916667,8.024,0.843,432.136,7354.27
664,1971,NZL,Wellington,-41.3,174.783333,11.429,0.583,24.598,70.18
665,1976,NZL,Wellington,-41.3,174.783333,10.638,0.645,41.718,129.76
666,1980,NZL,Wellington,-41.3,174.783333,11.865,0.681,57.334,178.48
667,1981,NZL,Wellington,-41.3,174.783333,10.843,0.614,58.022,181.31
668,1982,NZL,Wellington,-41.3,174.783333,11.429,0.663,68.157,215.11
669,1983,NZL,Wellington,-41.3,174.783333,11.962,0.676,74.818,239.37
670,1984,NZL,Wellington,-41.3,174.783333,12.433,0.668,80.7,260.43
671,1985,NZL,Wellington,-41.3,174.783333,13.308,0.657,81.54,264.77
672,1986,NZL,Wellington,-41.3,174.783333,14.491,0.73,95.976,311.57
673,1987,NZL,Wellington,-41.3,174.783333,14.699,0.819,109.193,357.54
674,1988,NZL,Wellington,-41.3,174.783333,14.213,0.871,119.077,390.98
675,1989,NZL,Wellington,-41.3,174.783333,14.344,0.9,128.515,424.0
676,1990,NZL,Wellington,-41.3,174.783333,13.751,0.917,133.933,445.97
677,1991,NZL,Wellington,-41.3,174.783333,14.071,0.999,145.548,508.7
678,1992,NZL,Wellington,-41.3,174.783333,14.218,1.028,153.303,541.42
679,1993,NZL,Wellington,-41.3,174.783333,14.854,1.029,164.199,586.55
680,1994,NZL,Wellington,-41.3,174.783333,15.806,1.096,187.377,678.3
681,1995,NZL,Wellington,-41.3,174.783333,14.775,1.027,183.84,675.32
682,1996,NZL,Wellington,-41.3,174.783333,14.541,1.002,185.022,690.5
683,1997,NZL,Wellington,-41.3,174.783333,14.355,1.019,194.962,737.21
684,2004,NZL,Wellington,-41.3,174.783333,10.767,0.851,213.402,872.28
685,2005,NZL,Wellington,-41.3,174.783333,10.697,0.885,227.251,939.43
686,2006,NZL,Wellington,-41.3,174.783333,11.308,0.976,271.073,1134.33
687,2007,NZL,Wellington,-41.3,174.783333,10.394,0.865,254.188,1073.64
688,1970,NOR,Oslo,59.91666667,10.75,8.564,0.342,11.514,44.63
689,1971,NOR,Oslo,59.91666667,10.75,7.933,0.338,12.556,49.01
690,1972,NOR,Oslo,59.91666667,10.75,7.166,0.332,13.453,52.91
691,1973,NOR,Oslo,59.91666667,10.75,7.057,0.338,14.973,59.3
692,1974,NOR,Oslo,59.91666667,10.75,7.236,0.346,17.281,68.87
693,1975,NOR,Oslo,59.91666667,10.75,7.103,0.369,20.986,84.1
694,1976,NOR,Oslo,59.91666667,10.75,6.876,0.366,23.14,93.17
695,1977,NOR,Oslo,59.91666667,10.75,6.355,0.353,24.545,99.24
696,1978,NOR,Oslo,59.91666667,10.75,5.545,0.338,26.049,105.72
697,1979,NOR,Oslo,59.91666667,10.75,5.787,0.322,27.975,113.93
698,1980,NOR,Oslo,59.91666667,10.75,11.023,0.596,58.829,240.35
699,1981,NOR,Oslo,59.91666667,10.75,10.847,0.59,64.446,264.21
700,1982,NOR,Oslo,59.91666667,10.75,10.88,0.614,71.076,292.46
701,1983,NOR,Oslo,59.91666667,10.75,10.673,0.621,77.53,320.08
702,1984,NOR,Oslo,59.91666667,10.75,10.941,0.599,81.903,339.09
703,1985,NOR,Oslo,59.91666667,10.75,10.661,0.584,86.65,359.82
704,1986,NOR,Oslo,59.91666667,10.75,10.51,0.622,97.607,406.76
705,1987,NOR,Oslo,59.91666667,10.75,10.322,0.635,103.549,433.55
706,1988,NOR,Oslo,59.91666667,10.75,7.712,0.485,81.21,341.85
707,1989,NOR,Oslo,59.91666667,10.75,8.141,0.498,87.135,368.31
708,1990,NOR,Oslo,59.91666667,10.75,7.659,0.542,99.867,423.58
709,1991,NOR,Oslo,59.91666667,10.75,7.799,0.573,112.003,477.33
710,1992,NOR,Oslo,59.91666667,10.75,7.903,0.593,121.995,522.92
711,1993,NOR,Oslo,59.91666667,10.75,10.101,0.745,160.581,692.42
712,1994,NOR,Oslo,59.91666667,10.75,9.282,0.677,155.562,674.61
713,1995,NOR,Oslo,59.91666667,10.75,9.514,0.692,168.181,733.13
714,1996,NOR,Oslo,59.91666667,10.75,9.653,0.694,185.931,814.63
715,1997,NOR,Oslo,59.91666667,10.75,9.633,0.746,213.214,939.24
716,1998,NOR,Oslo,59.91666667,10.75,9.592,0.808,227.62,1008.69
717,1999,NOR,Oslo,59.91666667,10.75,9.601,0.81,247.47,1104.19
718,2000,NOR,Oslo,59.91666667,10.75,10.212,0.787,290.719,1305.61
719,2001,NOR,Oslo,59.91666667,10.75,9.993,0.801,303.553,1370.16
720,2002,NOR,Oslo,59.91666667,10.75,10.057,0.906,343.788,1560.16
721,2003,NOR,Oslo,59.91666667,10.75,9.877,0.911,350.856,1601.61
722,2004,NOR,Oslo,59.91666667,10.75,10.062,0.888,377.594,1733.88
723,2005,NOR,Oslo,59.91666667,10.75,9.662,0.805,384.641,1778.31
724,2006,NOR,Oslo,59.91666667,10.75,9.232,0.731,395.454,1843.08
725,2007,NOR,Oslo,59.91666667,10.75,8.579,0.691,385.796,1816.77
726,2008,NOR,Oslo,59.91666667,10.75,7.95,0.633,390.574,1862.34
727,2009,NOR,Oslo,59.91666667,10.75,7.606,0.69,382.607,1847.5
728,2010,NOR,Oslo,59.91666667,10.75,7.653,0.682,395.456,1933.48
729,2011,NOR,Oslo,59.91666667,10.75,7.998,0.703,436.365,2161.35
730,2012,NOR,Oslo,59.91666667,10.75,7.733,0.679,443.629,2226.38
731,2013,NOR,Oslo,59.91666667,10.75,7.589,0.678,453.76,2304.93
732,2014,NOR,Oslo,59.91666667,10.75,7.49,0.7,459.597,2361.06
733,2015,NOR,Oslo,59.91666667,10.75,7.655,0.764,473.844,2458.59
734,2016,NOR,Oslo,59.91666667,10.75,7.539,0.789,501.15,2622.48
735,2002,POL,Warsaw,52.25,21.0,29.509,1.794,211.341,8079.64
736,2003,POL,Warsaw,52.25,21.0,31.574,1.883,230.732,8815.02
737,2004,POL,Warsaw,52.25,21.0,31.0,1.819,242.886,9273.93
738,2005,POL,Warsaw,52.25,21.0,29.762,1.728,240.171,9166.23
739,2006,POL,Warsaw,52.25,21.0,28.819,1.672,253.274,9660.19
740,2007,POL,Warsaw,52.25,21.0,26.54,1.559,261.569,9971.16
741,2008,POL,Warsaw,52.25,21.0,24.605,1.568,287.143,10947.54
742,2009,POL,Warsaw,52.25,21.0,24.574,1.619,311.849,11897.54
743,2010,POL,Warsaw,52.25,21.0,24.333,1.562,329.4,12531.3
744,2011,POL,Warsaw,52.25,21.0,24.148,1.505,343.987,13093.26
745,2012,POL,Warsaw,52.25,21.0,22.255,1.38,328.913,12519.47
746,2013,POL,Warsaw,52.25,21.0,21.704,1.384,342.047,13011.53
747,2014,POL,Warsaw,52.25,21.0,21.468,1.341,344.854,13108.5
748,2015,POL,Warsaw,52.25,21.0,20.966,1.33,357.184,13568.14
749,1970,PRT,Lisbon,38.71666667,-9.133333,14.226,0.322,6.784,58.89
750,1977,PRT,Lisbon,38.71666667,-9.133333,20.706,0.846,35.339,334.15
751,1978,PRT,Lisbon,38.71666667,-9.133333,24.23,1.021,46.422,443.71
752,1979,PRT,Lisbon,38.71666667,-9.133333,25.041,1.025,52.753,509.66
753,1980,PRT,Lisbon,38.71666667,-9.133333,20.977,1.004,58.286,569.24
754,1981,PRT,Lisbon,38.71666667,-9.133333,19.472,0.978,62.52,615.91
755,1982,PRT,Lisbon,38.71666667,-9.133333,18.984,0.965,66.506,659.19
756,1983,PRT,Lisbon,38.71666667,-9.133333,20.083,0.969,68.948,686.57
757,1984,PRT,Lisbon,38.71666667,-9.133333,20.577,1.018,73.363,733.35
758,1985,PRT,Lisbon,38.71666667,-9.133333,25.954,1.393,106.172,1064.23
759,1986,PRT,Lisbon,38.71666667,-9.133333,23.01,1.365,110.418,1107.79
760,1987,PRT,Lisbon,38.71666667,-9.133333,25.339,1.462,129.032,1294.19
761,1988,PRT,Lisbon,38.71666667,-9.133333,23.255,1.397,137.375,1376.44
762,1989,PRT,Lisbon,38.71666667,-9.133333,24.267,1.344,146.308,1463.81
763,1990,PRT,Lisbon,38.71666667,-9.133333,25.305,1.396,164.162,1638.87
764,1991,PRT,Lisbon,38.71666667,-9.133333,24.786,1.497,190.3,1895.43
765,1992,PRT,Lisbon,38.71666667,-9.133333,25.336,1.567,206.193,2052.13
766,1993,PRT,Lisbon,38.71666667,-9.133333,26.203,1.691,222.786,2219.99
767,1994,PRT,Lisbon,38.71666667,-9.133333,26.03,1.673,226.69,2264.98
768,1995,PRT,Lisbon,38.71666667,-9.133333,24.275,1.748,251.235,2518.93
769,1996,PRT,Lisbon,38.71666667,-9.133333,24.626,1.835,273.478,2752.27
770,1997,PRT,Lisbon,38.71666667,-9.133333,24.72,1.832,289.154,2923.05
771,1998,PRT,Lisbon,38.71666667,-9.133333,24.15,1.783,297.23,3019.92
772,2000,PRT,Lisbon,38.71666667,-9.133333,21.881,1.832,345.833,3558.59
773,2001,PRT,Lisbon,38.71666667,-9.133333,22.486,1.89,370.107,3835.32
774,2002,PRT,Lisbon,38.71666667,-9.133333,22.542,1.929,392.927,4094.15
775,2003,PRT,Lisbon,38.71666667,-9.133333,22.284,1.984,413.377,4323.44
776,2004,PRT,Lisbon,38.71666667,-9.133333,22.336,2.076,446.21,4678.0
777,2005,PRT,Lisbon,38.71666667,-9.133333,22.09,2.084,473.861,4977.12
778,2006,PRT,Lisbon,38.71666667,-9.133333,22.342,2.041,503.565,5298.66
779,2007,PRT,Lisbon,38.71666667,-9.133333,22.136,2.007,515.673,5436.72
780,2008,PRT,Lisbon,38.71666667,-9.133333,21.184,1.981,527.624,5570.75
781,2009,PRT,Lisbon,38.71666667,-9.133333,20.154,1.991,527.548,5575.26
782,2010,PRT,Lisbon,38.71666667,-9.133333,19.269,1.892,517.697,5473.66
783,2011,PRT,Lisbon,38.71666667,-9.133333,18.373,1.751,468.954,4951.01
784,2012,PRT,Lisbon,38.71666667,-9.133333,16.638,1.555,411.465,4326.49
785,2013,PRT,Lisbon,38.71666667,-9.133333,15.613,1.419,395.927,4140.33
786,2014,PRT,Lisbon,38.71666667,-9.133333,15.398,1.389,400.196,4162.46
787,2015,PRT,Lisbon,38.71666667,-9.133333,15.5,1.391,412.877,4276.61
788,1999,SVK,Bratislava,48.15,17.116667,34.81,1.928,206.344,1113.44
789,2000,SVK,Bratislava,48.15,17.116667,34.69,1.843,209.134,1126.96
790,2001,SVK,Bratislava,48.15,17.116667,34.657,1.851,229.487,1234.38
791,2002,SVK,Bratislava,48.15,17.116667,37.564,2.072,275.505,1481.37
792,2003,SVK,Bratislava,48.15,17.116667,40.239,2.196,310.549,1668.7
793,2004,SVK,Bratislava,48.15,17.116667,34.185,2.215,336.67,1808.69
794,2005,SVK,Bratislava,48.15,17.116667,33.282,2.196,364.882,1960.44
795,2006,SVK,Bratislava,48.15,17.116667,31.128,2.136,403.152,2166.16
796,2007,SVK,Bratislava,48.15,17.116667,29.372,2.112,446.793,2401.34
797,2008,SVK,Bratislava,48.15,17.116667,30.159,2.101,497.76,2677.57
798,2009,SVK,Bratislava,48.15,17.116667,29.429,2.342,540.515,2911.43
799,2010,SVK,Bratislava,48.15,17.116667,29.198,2.278,569.68,3071.39
800,2011,SVK,Bratislava,48.15,17.116667,28.72,2.131,550.42,2971.38
801,2012,SVK,Bratislava,48.15,17.116667,26.544,2.026,539.956,2919.85
802,2013,SVK,Bratislava,48.15,17.116667,26.535,1.998,557.263,3016.68
803,2014,SVK,Bratislava,48.15,17.116667,27.029,1.871,542.885,2941.7
804,2015,SVK,Bratislava,48.15,17.116667,26.866,1.85,553.268,3000.82
805,1980,ESP,Madrid,40.4,-3.683333,21.807,1.083,76.161,2855.36
806,1981,ESP,Madrid,40.4,-3.683333,21.468,1.096,83.527,3153.87
807,1982,ESP,Madrid,40.4,-3.683333,22.189,1.153,93.937,3568.29
808,1983,ESP,Madrid,40.4,-3.683333,20.64,1.104,94.666,3613.55
809,1984,ESP,Madrid,40.4,-3.683333,19.24,0.993,89.373,3425.7
810,1985,ESP,Madrid,40.4,-3.683333,21.034,1.061,100.491,3865.84
811,1986,ESP,Madrid,40.4,-3.683333,19.646,0.983,97.807,3773.85
812,1987,ESP,Madrid,40.4,-3.683333,19.317,0.98,105.265,4072.16
813,1988,ESP,Madrid,40.4,-3.683333,18.402,1.039,121.057,4693.01
814,1989,ESP,Madrid,40.4,-3.683333,18.798,1.084,137.413,5335.44
815,1990,ESP,Madrid,40.4,-3.683333,18.556,1.132,154.269,5996.02
816,1995,ESP,Madrid,40.4,-3.683333,19.775,1.394,225.894,8973.42
817,1996,ESP,Madrid,40.4,-3.683333,20.275,1.433,242.473,9672.21
818,1997,ESP,Madrid,40.4,-3.683333,21.321,1.482,264.692,10602.87
819,1998,ESP,Madrid,40.4,-3.683333,21.66,1.498,284.806,11455.9
820,1999,ESP,Madrid,40.4,-3.683333,22.123,1.532,304.884,12313.31
821,2000,ESP,Madrid,40.4,-3.683333,21.958,1.497,322.041,13064.52
822,2001,ESP,Madrid,40.4,-3.683333,21.949,1.489,341.886,13966.18
823,2002,ESP,Madrid,40.4,-3.683333,22.65,1.541,375.405,15553.61
824,2003,ESP,Madrid,40.4,-3.683333,21.879,1.648,412.778,17414.13
825,2004,ESP,Madrid,40.4,-3.683333,21.26,1.62,424.38,18215.19
826,2005,ESP,Madrid,40.4,-3.683333,20.653,1.585,439.206,19172.73
827,2006,ESP,Madrid,40.4,-3.683333,19.635,1.523,469.511,20845.03
828,2007,ESP,Madrid,40.4,-3.683333,19.01,1.49,485.437,21954.76
829,2008,ESP,Madrid,40.4,-3.683333,18.494,1.533,512.994,23574.18
830,2009,ESP,Madrid,40.4,-3.683333,18.252,1.641,531.957,24663.09
831,2010,ESP,Madrid,40.4,-3.683333,18.192,1.641,524.963,24451.15
832,2011,ESP,Madrid,40.4,-3.683333,17.78,1.617,518.368,24229.92
833,2012,ESP,Madrid,40.4,-3.683333,17.652,1.602,512.297,23961.7
834,2013,ESP,Madrid,40.4,-3.683333,18.679,1.685,549.259,25606.48
835,2014,ESP,Madrid,40.4,-3.683333,17.909,1.627,547.538,25450.05
836,2015,ESP,Madrid,40.4,-3.683333,17.995,1.649,572.253,26579.83
837,1970,SWE,Stockholm,59.33333333,18.05,7.666,0.422,20.418,164.22
838,1971,SWE,Stockholm,59.33333333,18.05,7.768,0.462,23.532,190.57
839,1972,SWE,Stockholm,59.33333333,18.05,8.49,0.513,27.837,226.1
840,1973,SWE,Stockholm,59.33333333,18.05,9.326,0.561,33.314,271.05
841,1974,SWE,Stockholm,59.33333333,18.05,8.995,0.563,37.473,305.78
842,1975,SWE,Stockholm,59.33333333,18.05,8.56,0.56,41.61,340.89
843,1976,SWE,Stockholm,59.33333333,18.05,8.118,0.555,43.743,359.67
844,1977,SWE,Stockholm,59.33333333,18.05,7.701,0.584,48.003,396.1
845,1978,SWE,Stockholm,59.33333333,18.05,7.507,0.573,51.13,423.13
846,1979,SWE,Stockholm,59.33333333,18.05,7.381,0.556,55.579,460.95
847,1980,SWE,Stockholm,59.33333333,18.05,6.974,0.546,60.498,502.77
848,1981,SWE,Stockholm,59.33333333,18.05,7.019,0.557,67.682,563.15
849,1982,SWE,Stockholm,59.33333333,18.05,7.298,0.586,76.451,636.47
850,1983,SWE,Stockholm,59.33333333,18.05,7.393,0.587,81.086,675.37
851,1984,SWE,Stockholm,59.33333333,18.05,7.157,0.554,82.604,688.64
852,1985,SWE,Stockholm,59.33333333,18.05,7.671,0.564,88.457,738.65
853,1986,SWE,Stockholm,59.33333333,18.05,7.933,0.565,92.603,775.07
854,1987,SWE,Stockholm,59.33333333,18.05,8.143,0.586,101.523,852.57
855,1988,SWE,Stockholm,59.33333333,18.05,7.585,0.54,98.76,833.19
856,1989,SWE,Stockholm,59.33333333,18.05,8.6,0.617,119.607,1015.82
857,1990,SWE,Stockholm,59.33333333,18.05,8.628,0.626,125.815,1076.83
858,1991,SWE,Stockholm,59.33333333,18.05,9.154,0.663,135.181,1164.91
859,1992,SWE,Stockholm,59.33333333,18.05,10.108,0.761,155.916,1351.49
860,1993,SWE,Stockholm,59.33333333,18.05,11.203,0.871,177.84,1550.51
861,1994,SWE,Stockholm,59.33333333,18.05,12.355,0.911,196.493,1725.35
862,1995,SWE,Stockholm,59.33333333,18.05,12.929,0.943,214.705,1895.19
863,1996,SWE,Stockholm,59.33333333,18.05,14.254,1.068,252.227,2229.94
864,1997,SWE,Stockholm,59.33333333,18.05,13.028,0.953,233.056,2061.63
865,1998,SWE,Stockholm,59.33333333,18.05,14.286,1.058,269.433,2384.74
866,1999,SWE,Stockholm,59.33333333,18.05,14.635,1.085,294.6,2609.53
867,2000,SWE,Stockholm,59.33333333,18.05,14.511,1.076,314.697,2792.03
868,2001,SWE,Stockholm,59.33333333,18.05,14.61,1.174,348.639,3101.48
869,2002,SWE,Stockholm,59.33333333,18.05,14.706,1.23,376.14,3357.03
870,2003,SWE,Stockholm,59.33333333,18.05,14.215,1.203,378.634,3391.89
871,2004,SWE,Stockholm,59.33333333,18.05,14.128,1.167,391.6,3521.87
872,2005,SWE,Stockholm,59.33333333,18.05,13.922,1.152,391.434,3534.48
873,2006,SWE,Stockholm,59.33333333,18.05,13.952,1.139,426.3,3871.02
874,2007,SWE,Stockholm,59.33333333,18.05,13.704,1.106,448.828,4105.92
875,2008,SWE,Stockholm,59.33333333,18.05,13.65,1.135,474.925,4378.64
876,2009,SWE,Stockholm,59.33333333,18.05,13.475,1.205,478.419,4448.59
877,2010,SWE,Stockholm,59.33333333,18.05,13.301,1.129,470.326,4410.78
878,2011,SWE,Stockholm,59.33333333,18.05,10.245,1.094,478.705,4523.39
879,2012,SWE,Stockholm,59.33333333,18.05,10.149,1.11,496.505,4726.42
880,2013,SWE,Stockholm,59.33333333,18.05,9.846,1.093,499.194,4792.45
881,2014,SWE,Stockholm,59.33333333,18.05,9.816,1.094,507.491,4920.69
882,2015,SWE,Stockholm,59.33333333,18.05,9.851,1.085,518.78,5083.62
883,1985,CHE,Bern,46.91666667,7.466667,11.592,0.808,171.227,1107.9
884,1986,CHE,Bern,46.91666667,7.466667,12.105,0.865,189.428,1232.06
885,1987,CHE,Bern,46.91666667,7.466667,10.344,0.76,172.362,1128.13
886,1988,CHE,Bern,46.91666667,7.466667,10.682,0.79,190.12,1253.53
887,1989,CHE,Bern,46.91666667,7.466667,10.326,0.766,198.234,1317.64
888,1990,CHE,Bern,46.91666667,7.466667,10.549,0.777,213.748,1435.43
889,1991,CHE,Bern,46.91666667,7.466667,10.106,0.805,223.999,1523.19
890,1992,CHE,Bern,46.91666667,7.466667,9.692,0.808,227.292,1562.72
891,1993,CHE,Bern,46.91666667,7.466667,10.022,0.843,240.318,1667.39
892,1994,CHE,Bern,46.91666667,7.466667,10.055,0.853,249.578,1745.5
893,1995,CHE,Bern,46.91666667,7.466667,10.097,0.893,266.307,1874.98
894,1996,CHE,Bern,46.91666667,7.466667,10.162,0.935,285.052,2015.84
895,1997,CHE,Bern,46.91666667,7.466667,10.453,0.96,305.359,2164.66
896,1998,CHE,Bern,46.91666667,7.466667,10.352,0.964,316.86,2252.87
897,1999,CHE,Bern,46.91666667,7.466667,10.623,1.003,339.043,2422.12
898,2000,CHE,Bern,46.91666667,7.466667,10.836,1.012,361.001,2593.52
899,2001,CHE,Bern,46.91666667,7.466667,10.741,1.041,383.731,2774.32
900,2002,CHE,Bern,46.91666667,7.466667,10.395,1.05,395.506,2881.16
901,2003,CHE,Bern,46.91666667,7.466667,10.616,1.103,414.972,3045.48
902,2004,CHE,Bern,46.91666667,7.466667,10.549,1.1,430.299,3179.75
903,2005,CHE,Bern,46.91666667,7.466667,10.622,1.089,440.715,3277.65
904,2006,CHE,Bern,46.91666667,7.466667,10.399,1.02,458.412,3430.73
905,2007,CHE,Bern,46.91666667,7.466667,10.305,0.993,491.141,3708.66
906,2008,CHE,Bern,46.91666667,7.466667,10.137,0.991,518.695,3966.81
907,2009,CHE,Bern,46.91666667,7.466667,10.134,1.053,543.521,4208.93
908,2010,CHE,Bern,46.91666667,7.466667,14.503,1.558,824.671,6452.98
909,2011,CHE,Bern,46.91666667,7.466667,14.439,1.562,873.221,6909.27
910,2012,CHE,Bern,46.91666667,7.466667,14.307,1.588,914.396,7312.3
911,2013,CHE,Bern,46.91666667,7.466667,14.083,1.6,956.715,7739.2
912,2014,CHE,Bern,46.91666667,7.466667,13.895,1.61,985.969,8073.75
913,2015,CHE,Bern,46.91666667,7.466667,14.014,1.69,1056.053,8746.65
914,1981,TUR,Ankara,39.93333333,32.866667,10.714,0.276,12.664,569.73
915,1982,TUR,Ankara,39.93333333,32.866667,12.903,0.277,13.611,626.45
916,1983,TUR,Ankara,39.93333333,32.866667,11.905,0.261,13.762,647.82
917,1984,TUR,Ankara,39.93333333,32.866667,10.938,0.231,13.098,630.2
918,1985,TUR,Ankara,39.93333333,32.866667,13.889,0.207,12.302,604.45
919,1986,TUR,Ankara,39.93333333,32.866667,12.403,0.228,14.455,724.61
920,1987,TUR,Ankara,39.93333333,32.866667,13.333,0.253,17.667,902.8
921,1990,TUR,Ankara,39.93333333,32.866667,22.021,0.54,43.847,2364.3
